cage;id;diet;treatment;body_weight;colon_length;spleen_weight;liver_weight
1;15833A;50;dss;20,54;5,4;0,1031;1,223
1;15894D;50;dss;24,5;5,3;0,164;1,5378
1;;50;dss;;;;
3;19017A;50;dss;25,8;4,4;0,3279;1,0091
3;15842C;50;dss;27,4;5,3;0,1068;1,5964
3;15978A;50;dss;24,5;4,7;0,125;1,3727
5;15935C;50;dss;24,3;6;0,113;1,3036
5;15913C;50;dss;21,6;6;0,1789;1,0355
5;15820B;50;dss;20,9;5,5;0,1588;1,0784
7;15834B;500;dss;19,4;5,6;0,0769;0,8368
7;19005D;500;dss;21,35;6;0,083;1,155
7;15980C;500;dss;24,91;6;0,185;1,5
9;19018B;500;dss;27,3;5;0,1091;1,536
9;15891A;500;dss;24,5;5,5;0,1511;1,4284
9;15822D;500;dss;22,8;5;0,096;1,3418
11;;500;dss;;;;
11;15970C;500;dss;23,7;5,2;0,1392;1,2943
11;15841B;500;dss;24,9;6;0,2373;1,6427
2;15899A;50;water;27,53;5,8;0,0899;1,4539
2;15845B;50;water;23,22;5,4;0,0702;1,2562
2;15947B;50;water;21,47;5,9;0,0808;0,9874
4;15857B;50;water;23,2;6;0,1096;0,7124
4;19004C;50;water;23,5;5,5;0,0923;1,1854
4;15905A;50;water;24,1;5,4;0,1004;1,1125
6;15956A;50;water;23,1;6;0,0901;1,156
6;15840A;50;water;23,5;7,1;0,09;1,2605
6;;50;water;;;;
8;;500;water;;;;
8;15844A;500;water;24,3;6,6;0,09;1,4785
8;15999A;500;water;28;5,5;0,0985;1,4523
10;15862C;500;water;23,3;4,2;0,083;1,0336
10;15948C;500;water;23,2;5,7;0,09;1,1023
10;15856A;500;water;21,7;5;0,1179;0,9589
12;15843D;500;water;25,94;6,4;0,1054;1,4414
12;15983B;500;water;22,58;5,7;0,0962;1,1716
12;15912B;500;water;24,54;6,1;0,1108;1,2604
