Old cage;Pedigree prefix;Birth date;Age start (d);Age start (w);Diet (Fe ppm);New cage;arbitrary number;treatment;2023-11-15;2023-11-20;2023-11-27;2023-12-04;2023-12-05;2023-12-06;2023-12-07;2023-12-08;2023-12-09;2023-12-11;2023-12-18;2023-12-27;2024-01-03;2024-01-11;2024-01-15;2024-01-22;2024-01-29;2024-02-07
247028;15833A;08/08/2023;83;11,9;50;248096;1;dss;18,1;18,3;19,2;18;18;18,3;18,7;17,5;17,4;14,4;16,2;18,3;18,7;19,4;20;20,3;21,3;20,54
247028;15894D;16/08/2023;75;10,7;50;248097;1;dss;20,1;22,1;21,1;20,6;20,8;21,3;21;20,5;19,9;18;19;20,8;21,7;23,6;22,3;24,4;23,2;24,5
247028;15998B;27/08/2023;64;9,1;50;248098;1;dss;19,6;19,6;19,8;20;19,4;18,9;18,3;17,9;17,5;17;17,4;16,5;17,7;17,3;15,7;12,8;15,6;
247032;19017A;27/08/2023;64;9,1;50;248096;3;dss;22,4;20,9;22;21,3;21,1;20,8;20,7;20,2;18,6;16,2;15,7;19,2;22,1;24,5;24,2;24,2;23,7;25,8
247030;15842C;06/08/2023;85;12,1;50;248099;3;dss;34,2;23,3;24;24;23,5;23,5;22,9;22,2;20,3;18,1;19,6;21,5;22,8;23,8;22,7;24,9;25,6;27,4
247034;15978A;24/08/2023;67;9,6;50;248099;3;dss;23,3;21,5;23,4;22;21,7;22;22,3;21,2;20,2;18,4;18,4;19,1;19,1;21,7;22,2;22,5;24,3;24,5
247036;15935C;23/08/2023;68;9,7;50;248097;5;dss;23,5;21,6;22,4;20,8;20,9;20,9;21,4;21,2;20,8;18;16,8;19,4;21,4;22,1;22,4;23,5;23,2;24,3
247034;15913C;14/08/2023;77;11;50;248098;5;dss;22,1;20,6;21,5;21,3;21;21,1;20,9;20,4;19,7;18;16,8;18,1;21,3;22,5;21,7;21,2;21,4;21,6
247038;15820B;03/08/2023;88;12,6;50;248099;5;dss;20,7;20,9;22,4;21,3;21,3;21,2;21,9;20,9;19,9;18,1;15,6;18,2;19,9;21,1;20,7;21,8;21,6;20,9
247029;15834B;08/08/2023;83;11,9;500;248100;7;dss;18,8;17,7;18,6;17,4;18;17,8;17,9;17,7;16,9;15,8;16,7;17,8;19,1;19,5;19,5;19,8;19,9;19,4
247031;19005D;27/08/2023;64;9,1;500;248101;7;dss;20,8;19,6;20,5;20,7;22,1;22,2;21,8;21,1;20,1;18,3;19;20,1;20,7;22,1;22,1;21,6;22,7;21,35
247035;15980C;24/08/2023;67;9,6;500;248103;7;dss;23,6;22,3;23,2;22,7;22,5;22,2;22,4;22;20,5;18,6;18,1;20,8;21,6;21,7;22,7;22,8;24,6;24,91
