cage;id;diet;treatment;Day 0;Day 0;Day 0;Day 1;Day 1;Day 1;Day 2;Day 2;Day 2;Day 3;Day 3;Day 3;Day 4;Day 4;Day 4;Day 5;Day 5;Day 5
cage;id;diet;treatment;weight;bleeding;consistency;weight;bleeding;consistency;weight;bleeding;consistency;weight;bleeding;consistency;weight;bleeding;consistency;weight;bleeding;consistency
1;15833A;50;dss;18;No;N;18;No;N;18,3;No;L;18,7;No;L;17,5;No;L;17,4;Yes;L
1;15894D;50;dss;20,6;No;N;20,8;No;N;21,3;No;N;21;No;N;20,5;Yes;N;19,9;No;N
1;15998B;50;dss;20;No;N;19,4;No;N;18,9;No;N;18,3;No;N;17,9;No;N;17,5;No;N
3;19017A;50;dss;21,3;No;N;21,1;No;N;20,8;No;L;20,7;No;L;20,2;Yes;L;18,6;Yes;L
3;15842C;50;dss;24;No;N;23,5;No;N;23,5;No;L;22,9;No;L;22,2;Yes;L;20,3;Yes;L
3;15978A;50;dss;22;No;N;21,7;No;N;22;No;NL;22,3;No;NL;21,2;No;L;20,2;Yes;L
5;15935C;50;dss;20,8;No;N;20,9;No;L;20,9;No;L;21,4;No;L;21,2;No;L;20,8;No;L
5;15913C;50;dss;21,3;No;N;21;No;N;21,1;Yes;L;20,9;Yes;L;20,4;Yes;L;19,7;Yes;L
5;15820B;50;dss;21,3;No;N;21,3;No;N;21,2;No;N;21,9;No;L;20,9;No;L;19,9;No;L
7;15834B;500;dss;17,4;No;N;18;No;N;17,8;No;L;17,9;No;L;17,7;No;L;16,9;Yes;L
7;19005D;500;dss;20,7;No;N;22,1;No;N;22,2;No;N;21,8;No;L;21,1;Yes;L;20,1;No;L
7;15980C;500;dss;22,7;No;N;22,5;No;N;22,2;No;N;22,4;No;N;22;Yes;N;20,5;No;N
9;19018B;500;dss;22;No;N;23,3;No;N;22,8;No;N;22,2;Yes;L;22,5;Yes;L;22,3;No;L
9;15891A;500;dss;21,3;No;N;21,2;No;N;21,5;No;L;21,7;Yes;L;21,5;Yes;L;20;No;L
9;15822D;500;dss;23,2;No;N;23,4;No;N;23,2;No;N;23,2;Yes;L;22,8;Yes;L;21,7;Yes;L
11;15951A;500;dss;17,6;No;N;18,3;No;N;18,5;No;N;18,5;No;N;17,9;No;L;16;No;L
11;15970C;500;dss;22,7;No;N;23,5;No;N;23,2;No;N;23,5;No;N;23;No;N;22;No;N
11;15841B;500;dss;21,9;No;N;22,4;No;L;21,9;No;N;21,9;No;N;21,2;No;N;19,8;Yes;N
2;15899A;50;water;24;No;N;24,2;No;N;23,7;No;N;23,4;No;N;23,5;No;N;23,9;No;N
2;15845B;50;water;21;No;N;20,3;No;N;20,2;No;N;19,8;No;N;19,9;No;N;19,8;No;N
2;15947B;50;water;20,9;No;N;21,1;No;N;20,8;No;N;20,7;No;N;20,4;No;N;20,6;No;N
4;15857B;50;water;20,4;No;N;20,1;No;N;20,5;No;N;20,6;No;N;20,3;No;N;21,1;No;N
4;19004C;50;water;20;No;N;19,6;No;N;20,5;No;N;20,6;No;N;20,5;No;N;20,1;No;N
4;15905A;50;water;23,4;No;N;23,1;No;N;23;No;N;23;No;N;22,8;No;N;23,3;No;N
6;15956A;50;water;21,3;No;N;21,5;No;N;21,3;No;N;21,1;No;N;21,4;No;N;21;No;N
6;15840A;50;water;21,9;No;N;22;No;N;22,7;No;N;22,3;No;N;22,1;No;N;22,4;No;N
6;;50;water;;No;N;;No;N;;No;N;;No;N;;No;N;;No;N
8;15906B;500;water;22,2;No;N;22,2;No;N;22;No;N;21,4;No;N;20,9;No;N;20,4;No;N
8;15844A;500;water;23;No;N;23,2;No;N;23,2;No;N;23,5;No;N;23,2;No;N;23,1;No;N
8;15999A;500;water;24;No;N;24,4;No;N;24;No;N;24,6;No;N;24,1;No;N;24,1;No;N
10;15862C;500;water;19,7;No;N;20,8;No;N;20,8;No;N;20,7;No;N;20,4;No;N;20,5;No;N
10;15948C;500;water;21;No;N;21,1;No;N;20,9;No;N;20,6;No;N;20;No;N;20,8;No;N
10;15856A;500;water;21,6;No;N;22,2;No;N;22,3;No;N;21,6;No;N;21,5;No;N;21,5;No;N
12;15843D;500;water;23,6;No;N;22,8;No;N;22,8;No;N;22,8;No;N;23;No;N;22,3;No;N
12;15983B;500;water;19,3;No;N;20,1;No;N;20,3;No;N;20,3;No;N;20,2;No;N;20,3;No;N
12;15912B;500;water;22,5;No;N;22,7;No;N;22,8;No;N;23,3;No;N;22,8;No;N;22,8;No;N
