cage;id;diet;treatment;2024-01-10;2024-01-17;2024-01-24;2024-02-01;2024-02-06;2024-02-14;2024-02-15;2024-02-16;2024-02-17;2024-02-18;2024-02-19;2024-02-21;2024-02-29;2024-03-06;2024-03-13;2024-03-20;2024-03-27;2024-04-03;2024-04-11;2024-04-18
1;27171;50;water;8;12,6;16,2;17;17,2;18,5;18,5;18,2;18,4;18,8;19,2;19,8;20;19,6;20,1;20,5;20,2;20,6;20,3;21,1
1;27123A;50;water;9,4;13;17;18;18;18,3;18,8;19;18,8;18,9;19,3;19,6;20;20,5;21,1;21,3;22,3;21,6;22,3;21,5
2;27190A;50;water;11,9;15,8;17,7;19,2;19,8;20,5;20,5;20,5;20,4;20,6;20,9;22;22,9;21,8;22,9;23;23,6;24;24,1;24,9
2;27161;50;water;8,8;13,8;17,2;18,7;18,9;20,3;19,8;19,6;19,4;20;20;20,8;21,9;21,6;21,8;22,3;23,8;23,7;23,2;22,8
3;27135;50;water;9,9;13,5;17,2;17,2;18,2;19,5;19;19,4;19,6;19,5;19,5;20,1;21,6;21;21,6;23;23,1;23,9;23,9;24,9
3;27193D;50;water;11,3;14,7;15,7;16,5;17,4;17,7;17,8;18,5;19,1;19;19;19,3;20;19,1;19,4;20;20,4;20,4;20,9;21,9
4;27125C;50;water;7,8;12;16,7;18;17,7;19,7;19,2;19;19,4;19,7;20;20;21,2;20,1;21,2;21,5;20,5;21,2;21,2;21,2
4;27181;50;water;8;13;17;18,7;18,4;18,7;19,2;19,7;19,4;19,4;19,3;19,8;20,6;20,4;20,9;21,5;21,8;21,3;21,5;21,9
5;27162A;50;dss;9,2;13,9;18,7;18,5;18,2;19,8;19,8;19,5;19,3;18,7;17,8;14,8;16,4;17,9;19,5;20,2;21,1;21,6;22;24,5
5;27126D;50;dss;7,8;12,5;16,4;16,1;16,3;17,5;17,5;17,4;17,6;17,5;15,8;12,6;;;;;;;;
6;27164C;50;dss;8,6;13,1;17,6;18;18,3;19;19;19,5;19,5;19,3;17,4;15;16,3;20,4;20,4;21,8;21,6;21,7;23,6;21,8
6;27116;50;dss;11,1;15,2;17,9;18,8;19,2;19,8;19,9;19,9;19,9;19,7;19;17,3;19,7;18,4;20,4;22;22,1;24,4;23,8;23,2
7;27191B;50;dss;11,7;16;18,7;18,8;19,1;20,6;20,2;19,8;20,4;20,2;18,9;16,9;19;20;21;22,3;22,2;24,7;22,7;22,8
7;27130C;50;dss;7,3;12,2;16,8;17,6;17,7;19,4;19;17,6;18,1;17,5;15,5;;;;;;;;;
8;27149;50;dss;12,1;15,7;17,6;17,7;19,1;20,7;20,3;20,5;20,6;20,1;18,9;16,2;15,1;17;18,7;20,8;22,5;23,9;22,5;22,7
8;27118B;50;dss;10;14,2;17,5;17,5;18,3;18,5;18,4;18,1;18,4;17,8;17,3;16,4;17,4;17,8;19;19,5;20,9;21;20,5;21
9;27151B;500;water;12,2;15,1;18,6;21;21,2;22,5;22,2;21,8;21,2;21,3;21,5;22,5;23,8;23,8;23,7;25,2;24,8;24,2;24,8;26,9
9;27182A;500;water;8;11,7;15,7;15,7;15,9;18,4;18;17,7;18;18,8;18,8;19;20,3;21;20,7;21,9;23,2;22,5;23,4;24,1
10;27165D;500;water;9;13;16,8;17,9;18,3;19,2;18,6;18,3;18,5;18,8;19,6;19,6;20,1;20,3;20,1;21,3;22;21,6;21,9;22,3
10;27136A;500;water;9,2;12;16;16,6;17,8;18,3;18,2;18,5;18,6;18,6;19,8;19,7;20,6;20,4;20,8;21,6;21,8;22;22,3;23
11;27122;500;water;8,4;12;16,2;16,3;17,1;18,1;17,8;17,6;17,9;18,4;18,4;18,6;19,5;18,8;19,5;19,8;20;20,2;20,6;21,3
11;27143C;500;water;10,7;14,6;17,6;18,4;18,4;19,3;18,7;18,9;19,2;19,6;19,7;19,5;20,6;20,1;20,9;21,5;21,8;21,8;22,8;23,1
12;27189;500;water;11,3;13,7;15,5;16,8;17,5;17,6;17,9;18,4;18,4;19,3;18,9;18,6;19,4;19,1;19;19,8;18,9;19,7;20,1;20,5
12;27128A;500;water;8,4;12,8;16,4;18,1;17,8;19;18,8;18,9;19,4;19,4;19,6;19,5;20;19,8;20,1;21,6;20,2;21,2;20,7;20
13;27163B;500;dss;8,6;12,3;16,5;18,8;18,9;20,8;20,5;20,2;20;19,1;17,3;16,3;18,8;20,2;21,4;23,7;24,4;24,5;23,5;24,3
13;27144A;500;dss;12;15,5;16,2;17,6;17,7;19;18,6;18,7;18,8;18,1;15,5;13;;;;;;;;
14;27117A;500;dss;10,7;13,2;17,5;17,7;18;19,3;19;18,8;18,9;18,8;17,6;14,5;;;;;;;;
14;27127;500;dss;9,2;12,7;16,5;18,1;18,2;18,6;18,8;19,7;19,4;19,1;16,9;;;;;;;;;
15;27150A;500;dss;13,3;15,6;18,2;18,1;19,3;19,1;19,8;20,1;20,1;20,4;19,7;17,2;19,1;19,5;21,7;22,6;24,3;23;25,2;23
15;27192C;500;dss;12;13,9;16,2;17;17,7;18,2;18,2;18,3;18,2;17,8;15,7;12,8;;;;;;;;
16;27172A;500;dss;7,8;11,3;15,6;16,3;16,6;18,1;17,4;17,8;17,6;17,1;15,5;12,8;18,5;18,7;19,9;19,2;20,6;20,7;21,7;19,4
16;27124B;500;dss;9,3;12,9;16,3;18;18,8;19,2;18,3;18,8;18,9;18,7;17,7;15,5;18,6;19,3;21,1;22;22,1;22,8;23,7;21,3
