"cage	id	diet	treatment	body_weight	colon_length	spleen_weight	liver_weight"
"1	10971	50	water	23,1	5,7	0,0853	1,3682"
"1	10996A	50	water	23,3	6,3	0,0729	1,296"
"3	33106	50	water	23,6	6,2	0,0808	1,1396"
"3	10960A	50	water	22,9	5,5	0,0739	1,37"
"7	33107A	50	dss	23,4	5,4	0,0848	1,1988"
"7	10959	50	dss	22,1	6	0,1259	1,1144"
"9	33114C	50	dss	21,6	5,5	0,1066	0,8104"
"9	10992B	50	dss	22,6	6,2	0,0702	1,4388"
"13	10998	500	water	22,7	7,1	0,1543	1,3196"
"13	33117A	500	water	25,8	6,4	0,0939	1,4185"
"15	10999A	500	water	25,7	5,8	0,1042	1,154"
"15	10967C	500	water	24,5	6,1	0,1383	1,4339"
"19	33101C	500	dss	22,8	5,6	0,0967	1,154"
"19	10977B	500	dss	25,7	6,3	0,102	1,4339"
"21	10964	500	dss	22,5	6	0,0845	1,2281"
"21	10978C	500	dss	22,3	6	0,095	1,2019"
