cage;id;diet;treatment;2024-04-09;2024-04-10;2024-04-11;2024-04-12;2024-04-13;2024-04-14;2024-04-15;2024-04-23;2024-04-30;2024-05-07;2024-05-14;2024-05-21;2024-05-28;2024-06-04;2024-06-11;2024-06-18;2024-06-25;2024-07-02;2024-07-10;2024-07-16;2024-07-31
1;10971;50;water;7,6;8,6;9,8;10,2;10,9;11,7;12,4;16,7;17,4;18,4;18,5;19,2;19,7;20,6;21,2;20,8;21,2;21;22,1;21,7;23,1
1;996A;50;water;7,7;8,8;9,9;10,8;10,8;11,7;12;15,2;17;17,5;19;19,8;20,3;21,1;22,1;22,6;22,2;22,1;22,1;21,2;23,3
2;995;50;water;8,1;8,5;10;10;11;11,8;12,6;17,1;17,1;17,6;17,9;18,8;20,4;21,4;21,2;21,2;22,1;21,8;20,7;20,9;22,3
2;112A;50;water;8,3;8,8;9,7;9,6;10,3;11,5;12,2;17;18,1;19,4;20,4;20,4;21,3;21,4;23;22,9;22,4;22,2;22;22,1;21,7
3;106;50;water;8,1;8,9;10;10,5;11,5;12,2;12,6;17;17,9;18,8;19,2;19,8;21,3;21,8;22,3;21,7;21,8;22,8;22,5;23;23,6
3;10960A;50;water;8,9;9,8;10,7;11,3;12;12,7;13,5;16,9;17,5;18,1;18,7;18,7;20,4;20,6;22,3;21,6;21,4;21,5;22,2;21,8;22,9
4;108;50;water;10;9,2;9,8;10,4;10,8;11,3;12;15,2;17,5;17,9;18,7;19,1;20,8;20,9;22,3;20,9;22,1;22,1;22,5;22,1;22,7
4;10991A;50;water;8,1;8,8;10;10,7;11,7;12,7;13,5;16,4;17,9;18,6;19,3;19,8;21;21,3;21,5;22;21,7;22,1;23,7;23,7;24,1
5;10968;50;water;8,8;9,7;10,6;10,9;12,3;13;13,3;15,7;17;17,3;17,8;18,3;19,1;18,6;20,2;19,6;20,1;20;20,7;21,2;20,6
5;113B;50;water;7,6;7,9;8,5;9,1;9,8;10,4;11;15,4;18;18,4;19,8;20,6;21,8;23;24;23;23,8;24,4;24,8;24,6;25,1
6;111;50;water;6,8;7,2;7,8;8,3;9,4;10,6;11,1;15;17,1;17,2;18,5;18,9;19,9;20,9;20,5;20,7;21,1;20,2;20,5;21,5;21,7
