cage;id;diet;treatment;2024-05-28;2024-05-29;2024-05-30;2024-05-31;2024-06-01;2024-06-02
1;10971;50;water;;;;;;
1;996A;50;water;;;;;;
2;995;50;water;;;;;;
2;112A;50;water;;;;;;
3;106;50;water;;;;;;
3;10960A;50;water;;;;;;
4;108;50;water;;;;;;
4;10991A;50;water;;;;;;
5;10968;50;water;;;;;;
5;113B;50;water;;;;;;
6;111;50;water;;;;;;
6;10970B;50;water;;;;;;
7;107A;50;dss;20,2;20,7;20,3;20,1;20,2;20,1
7;10959;50;dss;19,3;19,5;19;18,6;19;19,1
8;109A;50;dss;21,2;22;22,1;21,8;21,5;21,6
8;10990;50;dss;21;22,5;22,4;22,6;22,4;21,5
9;114C;50;dss;20,8;20,9;21;20;20,2;20
9;10992B;50;dss;22,2;22,4;22,5;22,7;22,5;22
10;115D;50;dss;20,4;20,7;20,9;20,7;20,6;20,6
10;997B;50;dss;20,8;20,5;20,7;20,3;20,2;20,4
11;110;50;dss;21;21,6;21,2;20,8;21;20,2
11;10993C;50;dss;20,3;20,4;20,6;20,8;20,7;19,8
12;10961B;50;dss;22,6;23,1;22,4;22,5;22,1;22,6
12;10994D;50;dss;20,2;20,5;20,7;21;20,6;21
13;998;500;water;;;;;;
13;117A;500;water;;;;;;
14;103;500;water;;;;;;
14;10956A;500;water;;;;;;
15;999A;500;water;;;;;;
15;10967C;500;water;;;;;;
16;10947A;500;water;;;;;;
16;10957B;500;water;;;;;;
17;118B;500;water;;;;;;
17;10976A;500;water;;;;;;
18;000B;500;water;;;;;;
18;10975;500;water;;;;;;
19;101C;500;dss;20,3;20,5;20,6;20,4;20,4;20,9
19;10977B;500;dss;22;22,4;22,4;22,3;22,1;22,4
20;102D;500;dss;19,8;20,7;20,6;20,6;20,5;20
20;109958C;500;dss;20,7;20,3;20,2;20,6;20,6;20,7
21;10964;500;dss;20,5;20,3;20,7;20,8;20,7;20,5
21;10978C;500;dss;20,3;20,3;20,4;20,3;20,6;20,2
22;10979D;500;dss;20,4;20,6;20,8;21,3;21,5;21,2
22;10965A;500;dss;19,6;19,7;19,5;20,2;20,2;20
23;10966B;500;dss;20,5;20,2;20,3;20,9;21;20,3
23;104A;500;dss;19,9;20,4;20,4;20,2;19,6;18,3
24;10946;500;dss;20,5;20,1;20;20,1;20;19,3
24;105B;500;dss;21,1;21,2;21,4;21,3;20,9;21,2
