cage;id;diet;treatment;body_weight;colon_length;spleen_weight;liver_weight
1;27171;50;water;21,1;5,8;0,0745;0,8672
1;27123A;50;water;21,5;3,9;0,0936;1,0595
2;27190A;50;water;24,9;6;0,1011;1,1189
2;27161;50;water;22,8;5;0,0865;1,2303
3;27135;50;water;24,9;5,7;0,0703;0,9804
3;27193D;50;water;21,9;5,7;0,0859;1,1787
4;27125C;50;water;21,2;4,6;0,0868;0,8257
4;27181;50;water;21,9;5,2;0,0941;1,1508
5;27162A;50;dss;21,8;4,5;0,1397;0,9215
5;27126D;50;dss;;;;
6;27164C;50;dss;23,2;5;0,1181;1,136
6;27116;50;dss;24,5;4,8;0,1725;1,3022
7;27191B;50;dss;22,8;5,1;0,1119;1,1893
7;27130C;50;dss;;;;
8;27149;50;dss;22,7;4,7;0,1285;1,2612
8;27118B;50;dss;21;4,9;0,1284;0,9318
9;27151B;500;water;26,9;5,4;0,097;1,3215
9;27182A;500;water;24,1;5,4;0,1002;1,2717
10;27165D;500;water;22,3;5,7;0,0858;1,0615
10;27136A;500;water;23;5,2;0,0842;0,8442
11;27122;500;water;21,3;4,4;0,0796;1,2209
11;27143C;500;water;23,1;5,5;0,1535;1,2801
12;27189;500;water;20,5;4,9;0,0597;0,9518
12;27128A;500;water;20;5;0,0792;1,0905
13;27163B;500;dss;24,3;5,3;0,1803;1,5235
13;27144A;500;dss;;;;
14;27117A;500;dss;;;;
14;27127;500;dss;;;;
15;27150A;500;dss;23;5,2;0,2924;1,2113
15;27192C;500;dss;;;;
16;27172A;500;dss;19,4;5,3;0,1283;1,1425
16;27124B;500;dss;21,3;4,8;0,1057;1,3021
